,track_popularity,danceability,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness_energy_combined
22644,54,0.859,0.281,0.079,3.89e-06,0.067,0.885,83.681,264173,-4.0985000000000005
12094,32,0.317,0.0344,0.88,0.0,0.172,0.571,107.711,67573,-8.023249999999999
21632,54,0.567,0.245,0.399,0.0,0.211,0.484,109.922,193055,-3.8115
27169,27,0.811,0.0898,0.128,0.00529,0.101,0.661,123.018,175610,-3.686
22994,84,0.554,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,-4.184
297,54,0.609,0.0796,0.00959,0.000155,0.15,0.342,127.977,181875,-6.063
5165,55,0.493,0.0609,0.00272,0.276,0.107,0.43,150.003,235276,-1.9034999999999997
6862,54,0.585,0.357,0.0339,0.0,0.255,0.402,133.177,225187,-2.7145
26955,35,0.73,0.104,0.0908,0.028,0.259,0.35,135.068,245333,-0.032999999999999974
20457,71,0.734,0.0383,0.025,0.00138,0.108,0.6,127.986,215227,-1.8595000000000002
23853,1,0.697,0.13,0.298,0.392,0.258,0.121,140.021,194305,-6.8945
23203,40,0.573,0.0871,0.0013,0.0,0.292,0.235,96.879,195499,-2.5675
188,46,0.772,0.211,0.0528,0.0,0.834,0.59,118.116,154286,-2.8305
9389,11,0.732,0.231,0.00264,0.0,0.109,0.401,155.096,182707,-2.808
28622,19,0.687,0.247,0.0157,0.00687,0.698,0.477,126.975,247564,-1.855
24693,53,0.685,0.0406,0.19,0.0,0.158,0.372,82.52,304733,-3.0225
9328,30,0.464,0.158,0.0241,0.0,0.121,0.705,164.223,238267,-3.0585
14901,41,0.426,0.0644,0.00161,2.93e-06,0.136,0.321,173.035,178507,-1.8884999999999998
9721,46,0.875,0.249,0.0336,0.0446,0.0236,0.67,94.004,218067,-3.0709999999999997
21340,36,0.771,0.0716,0.203,0.0,0.0518,0.847,163.975,239753,-1.4689999999999999
10535,42,0.61,0.355,0.0088,0.0,0.3,0.479,149.999,152000,-1.15
31787,77,0.612,0.0509,0.112,0.0,0.116,0.438,129.042,212862,-1.1525
30815,32,0.678,0.0648,0.156,0.87,0.101,0.705,129.991,326769,-4.061
22338,56,0.522,0.0543,0.718,2.84e-06,0.0935,0.367,132.893,174730,-2.8475
