,track_id,track_name,track_artist,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,key,mode
16264,5SNTUBSq1Qzi0URdB443h1,Freak - Sam Feldt Remix Edit,R3HAB,0ojB0D1LudlOhfQr3mQaJ7,Freak,2016-05-10,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,11,0
21497,5b0nFlX4ha3vBqKEPYiwme,Sit Back,IAMDDB,4q9E5jAAcVTutsH2Ctpwhb,Kare Package,2019-12-25,Contemporary Urban,6wyJ4bsjZaUKa9f6GeZlAO,r&b,urban contemporary,9,0
6333,73xXDeBMlC5cdvWoOLWVLo,Dip,Tyga,1dDfjR6KqXwa6I8XmPXnxr,Legendary (Deluxe Edition),2019-08-23,Hip-Hop Mixtape,37i9dQZF1DWVdgXTbYm2r0,rap,hip hop,2,1
23222,2boUc4JNob2fuDJ9qReNCI,Set Me Free,MARIA,3AXr0A6GDcfrsLDxeHTYuD,Set Me Free,2019-12-25,Girl On Fire,37i9dQZF1DX4F2k37fMTyn,r&b,hip pop,11,0
12274,2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,Electric Light Orchestra,3usnShwygMXVZB4IV5dwnU,Out of the Blue,1977,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6,rock,album rock,10,1
23729,3LHhmiUuQtT1UpgXlGOIEH,Can't Do Without Your Love,Stevie Wonder,2hZDJ1IP1gxyFGdF8VwtdE,Motown Unreleased 1969,2019-09-20,Musica Italiana 2020 - Playlist Pop & Hip-Hop (Canzoni Italiane 2020),6kVFIQBhLT4003iw2WWEv1,r&b,hip pop,1,0
20637,3wnjAXKdsFmtKvDcYSysjd,Sidewalk Talk,Jellybean,4j0MYI9wBcrZfhwck4bMrO,Lost Hits Of The 80's (All Original Artists & Versions),2010-01-01,80's Freestyle/Disco Dance Party (Set Crossfade to 4-Seconds),1oReEujyWpQv2OX68BVPPA,latin,latin hip hop,10,1
8046,1Mi6uegC4pRxQZw1CB5Fk9,Can It Be All So Simple / Intermission,Wu-Tang Clan,3tQd5mwBtVyxCoEo4htGAV,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,7,1
23892,7z72BGlsE21horfWo8hG4d,Rewind (feat. Sophie Strauss),Wingtip,37OQTAUlRrqwirt2DNpLb6,Rewind (feat. Sophie Strauss),2016-09-20,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,8,0
21026,4U8cv19UvIVKkA4Lliv717,Move On (C'est la vie),Faydee,1mNr9OMAsZqPugzenNbpL2,Move On (C'est la vie),2015-01-25,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",3hR2R6szlkwZeGyclTgHcF,latin,latin hip hop,9,1
