,track_popularity,track_id,track_name,track_artist,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,key,mode,combined_text
23207,26,3PYjJW2UuhMUUP1TSF9NDD,nakama,XLII,2LGXdk4yoQZnnoBoxrj8iP,nakama,2019-12-25,Girl On Fire,37i9dQZF1DX4F2k37fMTyn,r&b,hip pop,3,1,nakama nakama r&b hip pop
21143,43,04ILYls20Qdxl8VGAQKdAF,santeria,Doble Porcion,4I6lImrXf0vqIjtsPQoOWJ,manzanas a la vuelta,2016-09-16,HIP-HOP: Latin Rap ['89-present],5fWgI0IJ1el5NB1sZ0Egsx,latin,latin hip hop,11,0,santeria manzanas a la vuelta latin latin hip hop
10595,55,1jBmW1fRXgLhy1XwE0SJTN,senhor,FBC,2nVbPjjv5bDVVbetaBBVZC,padrim,2019-11-15,Trap Ouro,37i9dQZF1DWYBXtbGSCurj,rap,trap,8,1,senhor padrim rap trap
8759,83,4xkOaSrkexMciUUogZKVTS,till i collapse,Eminem,2cWBwpqMsDJC1ZUwz813lo,the eminem show,2002-05-26,Gangster Rap | 100 % Gangster,2e0d7otcM1oyecfi3zZPWk,rap,gangster rap,1,1,till i collapse the eminem show rap gangster rap
15989,10,2NL4BBBSgypHnxUKmQdYcT,the reaper,Blue Öyster Cult,6NNrQJ8ojvbfFzoUjjABo4,the essential blue oyster cult,1972,70s Hard Rock,6pZlZ20vt3aDjIKw98aBtQ,rock,hard rock,0,1,the reaper the essential blue oyster cult rock hard rock
14686,46,7pFydJbDEToJHtvl6g579k,live and die,Orchestral Manoeuvres In The Dark,0gqlZbP2vl664AEAclVZCd,the pacific age,1986-09-29,"""Permanent Wave""",3HjTMn6O6adW8vcSMnqmhw,rock,permanent wave,0,1,live and die the pacific age rock permanent wave
1958,68,0YPXkQthLWrhNGoKTbwCJ8,died in your arms,Cutting Crew,6P6YSjfWz53suf41Bqt9BH,the best of cutting crew,1993-01-01,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post teen pop,11,0,died in your arms the best of cutting crew pop post teen pop
11340,1,7qkW1FftvUU5S2P1eNEBjr,starting over,John Lennon,3kYxJnL0ZW1ePbFmsbvYiN,double fantasy,1980-11-17,The Black Album,0KNLLunbFh9XgitPMOGmQg,rock,album rock,9,1,starting over double fantasy rock album rock
766,2,36sAHywEsh50kaM6CpENHp,crazy,Britney Spears,7e2tD25UffSO1019rrrRPe,baby one more time,1999-01-12,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,8,1,crazy baby one more time pop dance pop
15588,55,5RxCC8ecpIb6W9MVrJNmSF,to be loved,Papa Roach,3ETIenGs9NduSmJ9Zp82DA,the paramour sessions,2006-01-01,Hard Rock Workout!,5nQrMpkyWmxPX0gk74htMk,rock,hard rock,8,1,to be loved the paramour sessions rock hard rock
10675,68,4COGASZEbAxmH6k5gYMo6G,0 sentimientos,Jon Z,4dd7tLtioKjtq7v9byyPV6,0 sentimientos,2016-11-24,Trap Rewind,37i9dQZF1DX0JcH25923HT,rap,trap,4,0,0 sentimientos 0 sentimientos rap trap
21760,59,1mnqraQ8oV8MX92rdOFLWW,1 thing,Amerie,2PFK4dMZkqUQfxfSrK8WMf,touch,2005,Urban Contemporary,4Pbs84EQbuAblxlp6Chz0d,r&b,urban contemporary,10,0,1 thing touch r&b urban contemporary
6591,68,4dGLMiOBMUD74iiAGQ17cK,10 bands,Joyner Lucas,2vD6NN9RCmTwoNsM7k1LLf,10 bands,2019-07-11,Rap Workout,37i9dQZF1DX76t638V6CA8,rap,hip hop,11,1,10 bands 10 bands rap hip hop
21471,70,41SwdQIX8Hy2u6fuEDgvWr,10,KAYTRANADA,5FQ4sOGqRWUA5wO20AwPcO,bubba,2019-12-13,Contemporary Urban,6wyJ4bsjZaUKa9f6GeZlAO,r&b,urban contemporary,6,0,10 bubba r&b urban contemporary
4891,49,3HYXqOAm2Q8b2OyYqzv8d4,101,WALLA,2JJJHPnEkjM2quRLB0vnYl,101,2015-01-19,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,49qyKvg6UAQAvIMUIGMnP3,pop,indie poptimism,0,1,101 101 pop indie poptimism
5049,61,6Yu1OL8I0D4vjOzYdsXYGK,1251,The Strokes,3HFbH1loOUbqCyPsLuHLLh,room on fire,2003-10-28,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,4,1,1251 room on fire pop indie poptimism
9224,45,1PgHDUdXBgqCyp0Aefn2no,1312,Vega,5H1hPngz9CUzpA69c4KMFs,kaos,2015-01-16,GANGSTA Rap,5GA8GDo7RQC3JEanT81B3g,rap,gangster rap,10,0,1312 kaos rap gangster rap
22660,19,7jcSwq8YsO0zwbvQ9Xat4e,14 de febrero,Omi Hernandez,5gi4Rh0L049r2ofqw9fMYO,removiendo el piso,2016-02-23,Cuban vibes only,6VWXakL2ojgiVC01I271e2,r&b,urban contemporary,0,0,14 de febrero removiendo el piso r&b urban contemporary
1101,58,5UVBumEwdUnzvqxrXOYLFA,17,Youth Lagoon,7jG32gfkuo10qarPgmWC7q,the year of hibernation,2011,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0,1,17 the year of hibernation pop dance pop
