,track_popularity,danceability,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness_energy_combined
16264,35,0.636,0.125,0.469,0.0,0.268,0.443,118.038,196389,-2.4505
21497,52,0.576,0.171,0.19,0.000723,0.0872,0.334,86.32,212087,-7.6285
6333,63,0.885,0.2,0.0311,0.0,0.154,0.43,99.026,195992,-2.8975
23222,37,0.88,0.0546,0.0653,0.00488,0.0883,0.549,149.999,201600,-3.415
12274,79,0.388,0.0328,0.652,3.72e-06,0.248,0.477,177.784,303373,-4.8580000000000005
23729,1,0.658,0.0513,0.211,0.0,0.13,0.91,122.886,170635,-2.6390000000000002
20637,33,0.829,0.0455,0.108,2.58e-06,0.405,0.945,115.347,241627,-5.033
8046,52,0.677,0.555,0.819,1.77e-06,0.234,0.441,91.484,413000,-8.771
23892,3,0.66,0.0689,0.114,0.000233,0.172,0.283,100.025,197330,-3.249
21026,40,0.716,0.0883,0.135,0.0,0.212,0.424,101.09,183071,-3.6055
30809,26,0.837,0.0412,0.115,0.00161,0.0874,0.798,124.008,285852,-3.9205000000000005
22801,45,0.712,0.0413,0.609,0.0,0.138,0.518,123.904,154839,-5.5995
18118,11,0.551,0.0263,0.0203,0.0,0.186,0.308,143.734,232013,-2.8455
6470,44,0.615,0.0882,0.667,0.00438,0.111,0.362,84.929,184220,-4.6295
18619,50,0.704,0.131,0.0284,1.17e-05,0.215,0.35,134.041,227984,-3.9255
23217,72,0.676,0.132,0.00134,6.77e-05,0.0692,0.271,114.991,169681,-1.9100000000000001
26706,77,0.392,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293,-5.259
16468,45,0.629,0.0682,0.972,0.00659,0.108,0.441,118.402,203808,-7.2045
31291,58,0.554,0.0358,0.000376,0.851,0.363,0.331,122.99,220488,-2.495
22758,12,0.704,0.0594,0.28,0.149,0.475,0.681,105.182,346667,-4.8455
18888,82,0.781,0.0867,0.216,0.0,0.101,0.864,95.993,165646,-1.3135
32558,57,0.494,0.0427,0.069,0.000368,0.0664,0.235,128.007,187383,-1.9355000000000002
18850,66,0.771,0.199,0.119,2.68e-06,0.104,0.437,159.904,256920,-2.544
18374,88,0.76,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,-2.5475
3006,42,0.703,0.0342,0.0864,0.738,0.12,0.202,120.003,208000,-5.6485
20860,55,0.808,0.0616,0.0971,0.349,0.393,0.489,104.986,130905,-2.5205
16568,37,0.783,0.0415,0.504,0.918,0.11,0.571,108.022,212814,-5.874499999999999
14413,62,0.594,0.034,0.679,0.123,0.105,0.536,77.481,239120,-5.049
10113,49,0.584,0.253,0.524,0.0,0.135,0.405,138.767,166080,-4.5615000000000006
